order_id,created_ts,shamsy_date,customer_id,total_purchase
5c92a3d9a7b11b0001e4ec46,3/21/2019 0:04,1398-Farvardin-1,5bf1092b24aa9a000135ac7c,240000
5c92af8024aa9a00015b536d,3/21/2019 0:54,1398-Farvardin-1,58d2fe9b46e0fb0001e432c0,620000
5c930b0ea7b11b0001e4f07e,3/21/2019 7:24,1398-Farvardin-1,5c85f140a7b11b0001e65ec1,320000
5c93157324aa9a00015b5750,3/21/2019 8:09,1398-Farvardin-1,59c52fe152faff00014e4932,220000
5c93250024aa9a00015b5884,3/21/2019 9:15,1398-Farvardin-1,58eba26fd601800001b98a34,360000
5c93262ca7b11b0001e4f271,3/21/2019 9:20,1398-Farvardin-1,5c84876fa7b11b0001e58d09,360000
5c9346c8a7b11b0001e4f804,3/21/2019 11:39,1398-Farvardin-1,597dcdedd6018000011fb97e,520000
5c9349f8a7b11b0001e4f890,3/21/2019 11:53,1398-Farvardin-1,5ae8a39346e0fb0001016847,4.00E+05
5c934a2a24aa9a00015b5e70,3/21/2019 11:54,1398-Farvardin-1,5a9050c246e0fb0001ccd521,180000
5c93529224aa9a00015b5fc6,3/21/2019 12:30,1398-Farvardin-1,59e8cb63cff47e00019af9f6,280000
5c9354a924aa9a00015b6016,3/21/2019 12:38,1398-Farvardin-1,5a5f1597dc0e820001815880,460000
5c9354c524aa9a00015b6022,3/21/2019 12:39,1398-Farvardin-1,5c04f16124aa9a000148d925,1240000
5c9357bf24aa9a00015b60f5,3/21/2019 12:52,1398-Farvardin-1,5c90b36ea7b11b0001e42cf1,220000
5c936010a7b11b0001e4fd34,3/21/2019 13:27,1398-Farvardin-1,59bd798252faff000177e729,140000
5c936ad324aa9a00015b6548,3/21/2019 14:13,1398-Farvardin-1,5c87a41b24aa9a0001404b95,280000
5c9376d324aa9a00015b67d8,3/21/2019 15:04,1398-Farvardin-1,58e94da7d601800001b78a31,240000
5c937ecda7b11b0001e50382,3/21/2019 15:38,1398-Farvardin-1,58e51ac3d601800001b545cc,160000
5c93924124aa9a00015b6d49,3/21/2019 17:01,1398-Farvardin-1,5c8f8cdda7b11b0001e3836d,320000
5c9398b0a7b11b0001e507f2,3/21/2019 17:29,1398-Farvardin-1,59be6aeb52faff00010c296c,140000
5c9398f5a7b11b0001e50802,3/21/2019 17:30,1398-Farvardin-1,59b50910d601800001a10167,8.00E+05
5c93991ea7b11b0001e50812,3/21/2019 17:31,1398-Farvardin-1,59e37ecccff47e000136e0ed,460000
5c93a3b4a7b11b0001e509a7,3/21/2019 18:16,1398-Farvardin-1,5c9398d2a7b11b0001e507fc,360000
5c93a492a7b11b0001e509d5,3/21/2019 18:19,1398-Farvardin-1,597d6f85d6018000011e3afd,3.00E+05
5c93a6d824aa9a00015b7015,3/21/2019 18:29,1398-Farvardin-1,5c433ea0a7b11b00013bad52,280000
5c93a9e9a7b11b0001e50ab3,3/21/2019 18:42,1398-Farvardin-1,59702d7dc9e77c00018c3a0e,260000
5c93ace3a7b11b0001e50b39,3/21/2019 18:55,1398-Farvardin-1,5a56365952faff000102ec6f,2300000
5c93b0a3a7b11b0001e50bf6,3/21/2019 19:11,1398-Farvardin-1,58fcc3d052faff000175241b,780000
5c93b81124aa9a00015b7336,3/21/2019 19:43,1398-Farvardin-1,5a5c8877dc0e820001972671,6.00E+05
5c93bb7524aa9a00015b73c1,3/21/2019 19:57,1398-Farvardin-1,58f12992d6018000017568e9,480000
5c93befea7b11b0001e50e3b,3/21/2019 20:12,1398-Farvardin-1,5a42a7f252faff000115e98a,320000
5c93d7e8a7b11b0001e510a1,3/21/2019 21:58,1398-Farvardin-1,59ca61c152faff0001867b07,540000
5c93db89a7b11b0001e510df,3/21/2019 22:14,1398-Farvardin-1,5b83e6e624aa9a00012b19bf,420000
5c93f23ea7b11b0001e51294,3/21/2019 23:51,1398-Farvardin-1,5c87f41aa7b11b000156df43,280000
5c9434cb24aa9a00015b7b7b,3/22/2019 5:35,1398-Farvardin-2,5abe41434cedfd0001d82f94,240000
5c94637e24aa9a00015b7e56,3/22/2019 8:54,1398-Farvardin-2,591ded2052faff0001cd6b35,3.00E+05
5c9479b024aa9a00015b80ac,3/22/2019 10:29,1398-Farvardin-2,5c181f4c24aa9a000118ecb5,460000
5c94811ba7b11b0001e51b10,3/22/2019 11:00,1398-Farvardin-2,5a79ceb552faff0001e918c2,3.00E+05
5c948c1224aa9a00015b83c1,3/22/2019 11:47,1398-Farvardin-2,59906ac5d601800001ba32aa,6.00E+05
5c949516a7b11b0001e51f65,3/22/2019 12:26,1398-Farvardin-2,5aa762224cedfd0001b94ac9,220000
5c949596a7b11b0001e51f7e,3/22/2019 12:28,1398-Farvardin-2,59c52fe152faff00014e4932,240000
5c949bc024aa9a00015b8754,3/22/2019 12:54,1398-Farvardin-2,5c8592bba7b11b0001e63fe2,320000
5c949d3aa7b11b0001e52103,3/22/2019 13:00,1398-Farvardin-2,5c4ea098a7b11b00011feddb,2.00E+05
